Currency Pair,Historical VaR (5%),Monte Carlo VaR (5%)
AUDCHF,-0.011509144534553406,-0.016160090499736563
CADCHF,-0.010249097922364702,-0.009102013936378207
EURCHF,-0.005769117359417163,-0.005250069316289735
GBPCHF,-0.009199994220441954,-0.009942250394341417
JPYCHF,-0.009865294122943924,-0.009910277034662546
NOKCHF,-0.01041500173698352,-0.007992385830425745
NZDCHF,-0.011832525946787697,-0.012486302302842013
SEKCHF,-0.00908578399099451,-0.011836240206788619
USDCHF,-0.009714675151482765,-0.0018949125923654467
